Track Name,Artist Name,Album Name,Track Duration (ms),Added At,Genre
Gravity,Sara Bareilles,Little Voice,232760,2016-11-26T22:30:04Z,"""acoustic pop"", ""dance pop"", ""folk christmas"", ""folk-pop"", ""lilith"", ""neo mellow"", ""pop"", ""pop christmas"", ""pop rock"", ""post-teen pop"", ""singer-songwriter"", ""viral pop"""
Love Song,Sara Bareilles,Little Voice,258826,2016-12-21T10:59:19Z,"""acoustic pop"", ""dance pop"", ""folk christmas"", ""folk-pop"", ""lilith"", ""neo mellow"", ""pop"", ""pop christmas"", ""pop rock"", ""post-teen pop"", ""singer-songwriter"", ""viral pop"""
Sober,Selena Gomez,Revival,194826,2016-12-10T22:46:26Z,"""dance pop"", ""pop"", ""post-teen pop"""
Lay Me Down in Paper Hearts,SoCal VoCals,VoCabulary,245333,2017-02-27T22:47:34Z,"""a cappella"", ""college a cappella"""
Ride,SoMo,SoMo,289133,2016-11-28T10:42:07Z,"""dance pop"", ""deep pop r&b"", ""pop"", ""pop rap"", ""post-teen pop"", ""r&b"", ""teen pop"", ""urban contemporary"""
I Know You Like Me,Sound,I Know You Like Me,267233,2017-02-19T23:54:11Z,"""pop"""
Call On Me - Ryan Riback Extended Remix,"Starley, Ryan Riback",Call On Me (Remixes),222040,2017-01-10T20:17:11Z,"""tropical house"""
Chasing the Rain,Tenderfoot,Beginnings EP,264900,2017-04-14T08:29:27Z,"""pop"""
Somebody Else,The 1975,"I like it when you sleep, for you are so beautiful yet so unaware of it",347520,2016-11-28T01:19:56Z,"""modern rock"", ""nu gaze"", ""pop"", ""shiver pop"""
The Sound,The 1975,"I like it when you sleep, for you are so beautiful yet so unaware of it",248880,2016-11-28T01:20:01Z,"""modern rock"", ""nu gaze"", ""pop"", ""shiver pop"""
Chocolate,The 1975,The 1975,224640,2016-12-11T22:08:31Z,"""modern rock"", ""nu gaze"", ""pop"", ""shiver pop"""
Settle Down,The 1975,The 1975,239853,2016-12-11T22:08:42Z,"""modern rock"", ""nu gaze"", ""pop"", ""shiver pop"""
Robbers,The 1975,The 1975,254493,2016-12-11T22:08:45Z,"""modern rock"", ""nu gaze"", ""pop"", ""shiver pop"""
Girls,The 1975,The 1975,254600,2016-12-11T22:08:49Z,"""modern rock"", ""nu gaze"", ""pop"", ""shiver pop"""
Pressure,The 1975,The 1975,221373,2016-12-11T22:08:59Z,"""modern rock"", ""nu gaze"", ""pop"", ""shiver pop"""
The City,The 1975,The 1975,206893,2016-12-11T22:09:12Z,"""modern rock"", ""nu gaze"", ""pop"", ""shiver pop"""
Paris,The Chainsmokers,Paris,221520,2017-01-15T17:20:43Z,"""edm"", ""pop"", ""tropical house"""
Something Just Like This,"The Chainsmokers, Coldplay",Something Just Like This,247626,2017-02-23T06:47:22Z,"""edm"", ""pop"", ""tropical house"""
Mr. Brightside,The Killers,Hot Fuss,222586,2016-12-15T01:22:45Z,"""alternative rock"", ""indie christmas"", ""indie pop"", ""indie rock"", ""modern rock"", ""permanent wave"", ""pop christmas"", ""rock"", ""vegas indie"""
What Ever Happened?,The Strokes,Room On Fire,169506,2016-12-15T01:23:03Z,"""alternative rock"", ""blues-rock"", ""garage rock"", ""indie pop"", ""indie rock"", ""modern rock"", ""permanent wave"", ""rock"""
Can't Feel My Face,The Weeknd,Beauty Behind The Madness,213520,2016-11-29T03:49:37Z,"""canadian pop"", ""pop"", ""rap"""
In The Night,The Weeknd,Beauty Behind The Madness,235653,2016-12-11T09:38:57Z,"""canadian pop"", ""pop"", ""rap"""
